cafe,street,user,time,stars,reviews
Remarkable Beans,Queen St E,Audrey L,3 years ago, 4 stars ,
Remarkable Beans,Queen St E,Tasha Lafortune,3 years ago, 5 stars ,
Remarkable Beans,Queen St E,Faizal Garasia,3 years ago, 5 stars ,
Remarkable Beans,Queen St E,Fanny Tran,3 years ago, 1 star ,I don't thing me and my husband went here.
Remarkable Beans,Queen St E,M K,3 years ago, 3 stars ,
Remarkable Beans,Queen St E,Morgan Dobroshinsky,3 years ago, 4 stars ,"Stopped by for the first time yesterday morning since my power was out at home and got myself a coffee and one of the mini quiches. The coffee was great, and the quiche would have been if it wasnt still cold in the centre. The place is really cute but I found it odd that there was no background music going?!"
Remarkable Beans,Queen St E,Ann-Michele Potvin,3 years ago, 5 stars ,
Remarkable Beans,Queen St E,Being Mao,3 years ago, 3 stars ,
Remarkable Beans,Queen St E,Ian Briggs,3 years ago, 5 stars ,
Remarkable Beans,Queen St E,CA H,3 years ago, 4 stars ,Great coffee and delicious pastries. Lovely staff. Temps inside the cafe can get very hot due to oven.
Remarkable Beans,Queen St E,Mark Aberdeen,3 years ago, 3 stars ,
Remarkable Beans,Queen St E,Alexander Palkovits,3 years ago, 5 stars ,
Remarkable Beans,Queen St E,Robbin Hudson,3 years ago, 5 stars ,"Great coffee selection, roasted on site, friendly service. Cozy laid back comfortable  with super treats."
Remarkable Beans,Queen St E,Nancy Macedo,3 years ago, 3 stars ,"Parking was tough to visit the Remarkable Bean. Our decision to still make attempts to stop and enjoy the coffee were based on other reviews and how highly other thought about the place. I found it really average. The place is cute and you can find seating but its awkward at times. I think the owner needs to review seating arrangements - there are definately ways to maximize space without compromising a cozy atmosphere. The coffee was good but was average. I got the rocket fuel coffee and a oatmeal cookie - just average and nothing else to write about. My guess is that its a good  neighborhood spot as it became a bit busy with 1 served who managed drinks, orders, and cash. However, I don't think I'll go out of my way again."
Remarkable Beans,Queen St E,Edward Bennett,3 years ago, 4 stars ,Good tea & coffee nice people.
Remarkable Beans,Queen St E,Eduardo Vivarini,3 years ago, 4 stars ,
Remarkable Beans,Queen St E,Hari Hariharan,3 years ago, 5 stars ,
Remarkable Beans,Queen St E,Mike Riberdy,3 years ago, 5 stars ,"Great tasting coffee, nice little shop."
Remarkable Beans,Queen St E,Ume Maharukh,3 years ago, 4 stars ,Went to the Remarkable Bean for some iced coffee but unfortunately they currently dont have an ice machine :(. Ended up trying their vegan coconut walnut cookie and it was very nice! Hopfully they expand their vegan options. Great prices and lovely workers!
Remarkable Beans,Queen St E,Mina Ragaie,3 years ago, 5 stars ,
Remarkable Beans,Queen St E,Hospitality Consulting,3 years ago, 4 stars ,Always good. Keep up the great work!
Remarkable Beans,Queen St E,Sarah Phillips,3 years ago, 4 stars ,
Remarkable Beans,Queen St E,Ramon Ruiz,3 years ago, 5 stars ,
Remarkable Beans,Queen St E,Cathy Bogaart,3 years ago, 4 stars ,Good coffee (even the decaf - had a flat white). Good music. Comfy seating. Wifi sketchy. Lovely friendly staff.
Remarkable Beans,Queen St E,Adrian Frai,3 years ago, 5 stars ,Great lattes
Remarkable Beans,Queen St E,peter lamie,3 years ago, 2 stars ,
Remarkable Beans,Queen St E,Nedim Barut,3 years ago, 5 stars ,
Remarkable Beans,Queen St E,Bellaré Amoré Fashions & Convertibles,4 years ago, 5 stars ,
Remarkable Beans,Queen St E,Geordie Hancock,4 years ago, 5 stars ,
Remarkable Beans,Queen St E,Bill D.,4 years ago, 5 stars ,I buy a bag of Rocket Fuel about once a week. John remembers my name now. Peanut butter cookies - huge and deeeelicious. Be there early to get them. They don't make many and blink and they're gone.
Remarkable Beans,Queen St E,Julian Sammy,4 years ago, 5 stars ,"The man behind the counter, out of the goodness of his heart, made me a little cup of tea as I was leaving. He'd heard me coughing earlier. That was on top of excellent coffe in a spacious, well maintained store. Oh - and the smell of roasting coffee in there and on the street? Amazing."
Remarkable Beans,Queen St E,Harry Halyk,4 years ago, 5 stars ,
Remarkable Beans,Queen St E,Desmond B,4 years ago, 5 stars ,"Dope ambience, great selection of teas and coffee, and their vegan broccoli cheese muffin is on point"
Remarkable Beans,Queen St E,Steve Marcus,4 years ago, 4 stars ,
Remarkable Beans,Queen St E,Paul Graham,4 years ago, 5 stars ,
Remarkable Beans,Queen St E,Ryan Sim,4 years ago, 4 stars ,"Great coffee joint, good location. Go Friday nights for Mike Payne's amazing comedy show!"
Remarkable Beans,Queen St E,Daniel Quong,4 years ago, 3 stars ,
Remarkable Beans,Queen St E,Danielle Tessaro,4 years ago, 5 stars ,"delicious coffee, friendly service, great location. Love this place!"
Remarkable Beans,Queen St E,Robert Smith,4 years ago, 5 stars ,Delicious coffee
Remarkable Beans,Queen St E,James O'Hara,4 years ago, 5 stars ,
Remarkable Beans,Queen St E,Sydney Westgate,4 years ago, 5 stars ,"My family and I are frequent customers at the Bean both in Leslieville and the Beaches. Not only is the coffee AMAZING (they roast their own btw) but the desserts are delicious. I suggest trying the ButterTart, they are the best in town! They also have a wide range of gluten free products and some vegan which is nice to have :)

As I said before, the coffee is wonderful. The owner's, as well as one very charming barista with a mighty fine beard, roast their own beans in house. The coffee is strong, not acidic and smooth. Rocket Fuel is my go-to! The espresso is creamy with caramel undertones. Just by the taste of your drink, you know the roasting is done expertly and the staff are well trained when it come's to steaming milk and pouring espresso shots. The staff are also extremely friendly and quirky - don't let the sometimes sarcastic wit steer you away! The Remarkable Bean is certainly unique and the staff are no different. There is jazz music playing in the background and velvet purple, yellow and red pillows.

Everyone who goes to the Bean is also kind. You can certainly tell that in the Leslieville location, almost everyone is a regular and the owners are familiar with many of their customers. Speaking of the owners, the Bean is a family run company and if you are grabbing a coffee from either location you are bound to see them. They care about their store, their customers and their staff. They are, in my opinion, a very ""hallmark"" type of family and if you know hallmark, that means they are kind, charming and passionate about what they do.

If I was going to recommend a coffee shop in Toronto to someone, my first suggestion is always the Remarkable Bean! It may be located outside of the downtown core, but it's worth the trip! My family doesn't live in the area but still choose to swing by the bean when in need of a coffee-fix. Trust me when I say you can't go wrong :)

ALSO they have comedy on friday nights!! BONUS"
Remarkable Beans,Queen St E,jeremy yaksich,4 years ago, 5 stars ,Comedy night every Friday! Can't miss! And free of charge. Awesome.
Remarkable Beans,Queen St E,Aoiffe Walsh,4 years ago, 4 stars ,"Friendly staff, open late at night which is perfect for getting some work done. It’s a quiet spot that do good drinks. Every Friday evening they host a free comedy show which is worth checking out."
Remarkable Beans,Queen St E,Pa Heg,4 years ago, 5 stars ,
Remarkable Beans,Queen St E,Rajvir Alang,4 years ago, 4 stars ,
Remarkable Beans,Queen St E,Salma Elbrair,4 years ago, 3 stars ,
Remarkable Beans,Queen St E,Dan Brennan,4 years ago, 4 stars ,best mocha I ve ever had
Remarkable Beans,Queen St E,Brigitte McCann,4 years ago, 5 stars ,Cranberry blueberry muffins to die for. Very cozy and jazzy atmosphere with industrial type decor. Back patio for outdoor calm in the sun. Coffee lovers: I had their flat white and it was delish. Would definitely come back here!
Remarkable Beans,Queen St E,Mo Chan,4 years ago, 4 stars ,Great coffee
Remarkable Beans,Queen St E,nicol cotton,4 years ago, 5 stars ,"good coffee and homemade snacks, nice vibe too."
Remarkable Beans,Queen St E,Lara Saliba,4 years ago, 4 stars ,"A great cafe! It's a cute, cozy small design that draws you in and encourages you to settle in and set up shop with a good book or your laptop for a few hours. It's snug, warm, and the wood features and exposed brick wall add a nice style to the place. What stood out the most to me at this shop was the warm atmosphere and the friendliness - not only of the staff, but also of the other patrons! I got excited when I saw it as I thought the name was very adorable, and wanted to take a picture in front of it - I tried to be quick and not block anyone's way but people were also so nice and understanding!"
Remarkable Beans,Queen St E,Nedim Barut,4 years ago, 5 stars ,Nice and relaxing environment
Remarkable Beans,Queen St E,Nectaria Kladitis,4 years ago, 5 stars ,
